================ Training Loss (Wed Jun 11 15:13:57 2025) ================
================ Training Loss (Wed Jun 11 16:11:34 2025) ================
================ Training Loss (Wed Jun 11 16:30:36 2025) ================
================ Training Loss (Wed Jun 11 16:43:16 2025) ================
================ Training Loss (Wed Jun 11 17:01:03 2025) ================
(epoch: 1, iters: 1600, time: 0.024, data: 0.250) G_GAN_all: 0.826 D_real_all: 6.608 D_fake_all: 4.856 
(epoch: 1, iters: 3200, time: 0.022, data: 0.216) G_GAN_all: 0.818 D_real_all: 4.797 D_fake_all: 5.495 
(epoch: 1, iters: 4800, time: 0.021, data: 0.199) G_GAN_all: 0.808 D_real_all: 5.325 D_fake_all: 5.385 
(epoch: 1, iters: 6400, time: 0.021, data: 0.229) G_GAN_all: 0.835 D_real_all: 5.652 D_fake_all: 5.146 
(epoch: 1, iters: 8000, time: 0.021, data: 0.226) G_GAN_all: 0.856 D_real_all: 4.849 D_fake_all: 5.161 
(epoch: 1, iters: 9600, time: 0.021, data: 0.142) G_GAN_all: 0.793 D_real_all: 5.589 D_fake_all: 5.353 
(epoch: 1, iters: 11200, time: 0.021, data: 0.167) G_GAN_all: 0.838 D_real_all: 4.176 D_fake_all: 5.365 
(epoch: 1, iters: 12800, time: 0.021, data: 0.179) G_GAN_all: 0.917 D_real_all: 3.214 D_fake_all: 4.797 
(epoch: 2, iters: 1600, time: 0.022, data: 0.168) G_GAN_all: 0.803 D_real_all: 5.092 D_fake_all: 5.331 
(epoch: 2, iters: 3200, time: 0.021, data: 0.183) G_GAN_all: 0.827 D_real_all: 4.842 D_fake_all: 5.308 
(epoch: 2, iters: 4800, time: 0.018, data: 0.195) G_GAN_all: 0.867 D_real_all: 4.701 D_fake_all: 4.887 
(epoch: 2, iters: 6400, time: 0.018, data: 0.133) G_GAN_all: 0.892 D_real_all: 4.910 D_fake_all: 5.075 
(epoch: 2, iters: 8000, time: 0.018, data: 0.135) G_GAN_all: 0.891 D_real_all: 4.428 D_fake_all: 4.691 
(epoch: 2, iters: 9600, time: 0.018, data: 0.214) G_GAN_all: 0.831 D_real_all: 5.137 D_fake_all: 5.048 
(epoch: 2, iters: 11200, time: 0.018, data: 0.246) G_GAN_all: 0.868 D_real_all: 5.021 D_fake_all: 4.856 
(epoch: 2, iters: 12800, time: 0.006, data: 0.146) G_GAN_all: 0.964 D_real_all: 6.700 D_fake_all: 4.513 
(epoch: 3, iters: 1600, time: 0.018, data: 0.144) G_GAN_all: 0.867 D_real_all: 4.648 D_fake_all: 4.703 
(epoch: 3, iters: 3200, time: 0.018, data: 0.182) G_GAN_all: 0.862 D_real_all: 4.553 D_fake_all: 4.461 
(epoch: 3, iters: 4800, time: 0.018, data: 0.149) G_GAN_all: 0.858 D_real_all: 5.263 D_fake_all: 4.426 
(epoch: 3, iters: 6400, time: 0.018, data: 0.161) G_GAN_all: 0.890 D_real_all: 4.599 D_fake_all: 4.660 
(epoch: 3, iters: 8000, time: 0.018, data: 0.140) G_GAN_all: 0.838 D_real_all: 4.900 D_fake_all: 4.550 
(epoch: 3, iters: 9600, time: 0.018, data: 0.151) G_GAN_all: 0.868 D_real_all: 4.138 D_fake_all: 4.326 
(epoch: 3, iters: 11200, time: 0.018, data: 0.184) G_GAN_all: 0.881 D_real_all: 4.435 D_fake_all: 4.583 
(epoch: 3, iters: 12800, time: 0.006, data: 0.186) G_GAN_all: 0.945 D_real_all: 6.008 D_fake_all: 4.307 
(epoch: 4, iters: 1600, time: 0.018, data: 0.244) G_GAN_all: 0.838 D_real_all: 5.356 D_fake_all: 4.696 
(epoch: 4, iters: 3200, time: 0.018, data: 0.121) G_GAN_all: 0.854 D_real_all: 5.309 D_fake_all: 4.576 
(epoch: 4, iters: 4800, time: 0.018, data: 0.171) G_GAN_all: 0.859 D_real_all: 4.958 D_fake_all: 4.677 
(epoch: 4, iters: 6400, time: 0.018, data: 0.147) G_GAN_all: 0.856 D_real_all: 5.014 D_fake_all: 4.698 
(epoch: 4, iters: 8000, time: 0.018, data: 0.181) G_GAN_all: 0.847 D_real_all: 5.893 D_fake_all: 4.519 
(epoch: 4, iters: 9600, time: 0.018, data: 0.143) G_GAN_all: 0.855 D_real_all: 5.044 D_fake_all: 4.623 
(epoch: 4, iters: 11200, time: 0.018, data: 0.184) G_GAN_all: 0.847 D_real_all: 5.175 D_fake_all: 4.509 
(epoch: 4, iters: 12800, time: 0.006, data: 0.151) G_GAN_all: 0.931 D_real_all: 4.092 D_fake_all: 4.497 
